Year,D_Area,Hist_Mean,Ann_Mean,Hist_Max,Ann_Max,Hist_Min,Ann_Min,Hist_MaxQs,Ann_MaxQs
2005,94.75,12.74,-,1900,138.55,0,-,5585,-
2005,820.69,61.03,89.3,4771,4771,2.85,10.69,118000,9927
2005,221.73,14.44,-,3246,1900,0,0,18900,187
2005,247.28,13.66,36.49,3640,1315,0.36,0.51,49693,359
2005,599.32,36.31,-,12090,12090,0.47,389.39,105667,1405
2005,1980.65,112.78,-,16390.8,5583,5.41,68.08,21500,1420
2005,2906.32,145.7,218.18,28000,5400,0.27,10,62100,22800
2005,597.46,24.77,36.04,3740,945.72,0,8.17,16534,-
2005,282.89,11.01,-,2660,1166,0.06,5.83,8542,4089
2005,441.02,19.82,48.44,5980,2403,0,4.86,39364,7017
2005,226.66,8.58,-,1600,1334,0,2.37,77965,4136
2005,160.53,9.44,21.06,9230,2464.25,0,0,69800,4075
2005,146.46,5.66,-,725,687.77,0,0,37380,3879
2005,139.62,8.03,16.16,1770,1634.12,0,0.13,753353,26388
2005,812.03,67.73,143.07,6500,537,0,13.81,47465,17824
2005,175.3,16.15,17.3,1690,603,0.29,0.29,5188,1416
2005,309.86,24.49,28.38,4350,675,0,1.38,28706,4135
2005,1506,100.25,188.44,11900,7125,16.5,33.85,56000,25900
2005,1538.81,103.86,109.96,14300,3292.5,11,21.83,33400,29439
2005,1584.29,94.21,117.88,12800,3806,0.41,5.54,87417,74295
2004,94.75,12.74,-,1900,138.55,0,0,5585,5585
2004,820.69,61.98,51.42,4580,1636.57,2.85,9.86,118000,6450
2004,221.73,13.82,-,2711,2711,0,0,18900,263
2004,247.28,13.36,10.77,3640,1447,0.36,0.74,49693,257
2004,437.58,-,-,-,-,-,-,8020,-
2004,1980.65,-,-,-,-,-,-,21500,-
2004,2906.32,147.3,114.51,28000,7520,0.27,1.82,62100,24500
2004,597.46,24.54,24.26,3740,1826.8,0,3.13,16534,-
2004,282.89,11.45,10.61,2660,826.5,0,0,8542,-
2004,441.02,19.09,20.65,5980,2312,0,2.87,39364,13750
2004,226.66,8.63,9.68,1600,1050,0,0.7,77965,7098
2004,160.53,9.19,2.23,9230,394.81,0,0,69800,4120
2004,146.46,5.66,3.42,725,343.46,0,0,37380,2995
2004,139.62,7.72,4.92,1770,468.92,0,0,753353,10044
2004,812.03,66.67,78.38,6500,3130,0,0.55,47465,23956
2004,175.3,16.29,10.61,1690,309.25,0.34,0.39,5188,668
2004,309.86,24.4,19.56,4350,714.68,0,1.24,28706,3332
2004,1506,98.1,106.3,11900,10050,16.5,27.2,56000,8944
2004,1538.81,104.21,93.09,14300,7677,11,16.41,33400,18400
2004,1584.29,93.52,78.9,12800,5360,0.41,0.63,87417,55255
2003,94.75,12.74,-,1900,378,0.02,0.1,5390,366
2003,820.69,62.18,37.41,4580,588,2.85,5,118000,12089
2003,221.73,13.82,4.31,1910,137,0.37,1.08,18900,243
2003,247.28,13.42,5.03,3640,280,0.36,0.4,49693,68
2003,437.58,27.58,13.55,2960,122,3.92,4.8,8020,468
2003,1980.65,114.43,51.75,13500,1080,5.41,22.8,21500,2790
2003,2906.32,149.23,44.36,28000,2130,0.27,2.16,62100,34900
2003,597.46,24.55,-,3740,282,0,12.2,16534,1238
2003,282.89,11.56,-,2660,162,0.06,0.06,8542,606
2003,441.02,19.05,23.52,5980,230,0,0.2,39364,1246
2003,226.66,8.61,6.13,1600,70,0,1.4,77965,3172
2003,160.53,9.35,1.88,9230,294,0,0,69800,1054
2003,146.46,5.73,-,725,473,0,0.01,37380,395
2003,139.62,7.85,3.7,1770,215,0,0.01,753353,14744
2003,812.03,66.4,39.88,6500,1300,0,6.29,47465,3923
2003,175.3,16.44,9.59,1690,331,0.34,1.27,5188,5188
2003,309.86,24.52,24.17,4350,909,0,0.19,28706,2387
2003,1506,97.85,85.14,11900,7400,16.5,31.5,56000,13200
2003,1538.81,104.55,83.7,14300,6000,11,11,33400,14336
2003,1584.29,93.78,-,12800,7380,0.41,2.5,87417,55432
2002,622.8,36.1,21.07,9110,2267.38,0.86,9.43,35715,236
2002,820.69,62.18,31.96,4580,3.25,2.85,5.8,118000,89479
2002,221.73,13.82,7.77,1910,214.11,0.37,1.5,18900,587
2002,247.28,13.59,-,3640,173.51,0.36,0.67,49693,1890
2002,633.18,30.67,9.75,6340,750,0.06,1.6,45600,691
2002,417.08,24.89,11.12,1471.64,290,3.3,4.09,49253,1529
2002,1980.65,114.43,59.71,13500,14.4,5.41,16.8,21500,903
2002,2906.32,149.23,-,28000,93.88,0.27,0.32,62100,21300
2002,597.46,24.55,-,3740,4.62,0,7.43,16534,1501
2002,282.89,11.56,8.4,2660,6.21,0.74,0.74,8542,2708
2002,441.02,19.05,-,5980,5.18,0,0.29,39364,8309
2002,226.66,8.61,5.92,1600,9.91,0,0.5,77965,7414
2002,987.74,26.33,10.88,3880,9.97,0.01,0.01,23797,7329
2002,146.46,5.73,6.21,725,6.27,0,0.1,37380,414
2002,139.62,7.85,3.73,1770,13.53,0,0.06,753353,49590
2002,812.03,66.4,33.02,6500,296.8,0,0.35,47465,1005
2002,175.3,16.44,7.51,1690,9.65,0.34,1.32,2388,307
2002,309.86,24.52,16.43,4350,6.62,0,0.25,28706,1122
2002,1506,97.85,46.35,11900,4.46,16.5,21.5,56000,740
2002,1538.81,104.55,62.3,14300,61.03,12,28.2,33400,850
