Year,D_Area,Hist_Mean,Ann_Mean,Hist_Max,Ann_Max,Hist_Min,Ann_Min,RiverCoeff,Hist_MaxQs,Ann_MaxQs
1994,149.68,7.52,13.90,1810.00,1810.00,0.00,0.52,-,8240,5801
1994,441.02,18.62,23.12,5980.00,490.00,0.00,1.24,-,36300,3800
1994,226.66,8.70,12.42,1600.00,311.00,0.00,0.90,-,23833,3207
1994,1115.90,28.94,34.14,4000.00,1460.00,0.00,0.01,-,160996,18429
1994,146.46,5.45,7.77,608.00,527.00,0.00,0.00,-,37380,750
1994,139.62,8.52,12.81,1770.00,875.00,0.02,0.15,88500,753353,24531
1994,812.03,68.89,50.70,6160.00,2300.00,0.00,8.61,-,47465,47465
1994,175.30,16.67,18.80,1690.00,1120.00,0.34,1.94,4971,2388,512
1994,309.86,23.15,17.95,4350.00,779.00,0.00,0.19,-,28706,4787
1994,1506.00,98.07,93.42,11900.00,3060.00,16.50,26.60,717,56000,22900
1994,1538.81,103.66,102.14,14300.00,6430.00,12.00,20.00,1135,33400,12500
1994,1584.29,94.93,75.78,12800.00,3210.00,0.41,2.10,31220,64000,18483
1993,622.80,35.81,15.01,9110.00,-,1.37,1.90,6650,35715,11
1993,820.69,61.76,28.62,4580.00,-,2.85,3.30,1607,118000,5850
1993,221.73,13.73,7.24,1910.00,83.80,0.37,1.55,5162,18016,519
1993,247.28,13.15,10.59,3640.00,940.00,0.36,0.92,10111,49693,445
1993,633.18,30.32,14.27,6340.00,-,0.06,0.65,105667,24500,233
1993,417.08,24.74,15.85,1471.64,215.00,3.40,3.40,446,4692,500
1993,1980.65,116.15,102.79,13500.00,2430.00,5.41,16.50,23276,21500,2430
1993,2090.62,85.85,44.48,6020.00,547.00,6.00,16.80,1387,37170,13354
1993,597.46,24.95,11.11,3640.00,323.00,0.00,2.90,-,16534,1106
1993,149.68,7.22,6.76,1300.00,220.00,0.00,0.22,-,8240,1007
1993,441.02,18.49,13.44,5980.00,365.00,0.00,1.28,-,36300,2218
1993,226.66,8.59,6.43,1600.00,138.00,0.00,0.24,-,23833,2601
1993,1115.90,28.50,9.95,4000.00,850.00,0.00,0.00,-,160996,1485
1993,146.46,5.34,3.98,608.00,307.00,0.00,0.21,-,37380,494
1993,139.62,8.16,5.74,1770.00,333.00,0.02,0.05,88500,753353,22948
1993,812.03,69.41,30.71,6160.00,650.00,0.00,9.70,-,22677,2810
1993,175.30,16.59,5.52,1690.00,110.00,0.34,1.54,4971,2388,274
1993,309.86,23.31,4.31,4350.00,153.00,0.00,0.40,-,28706,1744
1993,1506.00,98.26,41.00,11900.00,220.00,16.50,19.90,717,56000,4430
1993,1538.81,103.72,55.60,14300.00,670.00,12.00,19.00,1135,33400,2830
1993,1584.29,95.34,35.66,12800.00,1660.00,0.41,2.50,31220,64000,20700
1992,622.80,36.50,46.58,9110.00,1740.00,1.37,3.85,6650,35715,2791
1992,820.69,62.53,79.95,4580.00,-,2.85,5.60,1607,118000,118000
1992,221.73,14.02,14.31,1910.00,291.00,0.37,2.00,5162,18016,483
1992,247.28,13.22,15.61,3640.00,580.00,0.36,1.32,10111,49693,466
1992,633.18,30.94,33.77,6340.00,225.00,0.06,0.44,105667,24500,583
1992,417.08,25.15,38.31,1471.64,701.00,3.40,5.15,446,4692,1509
